N:A2.KT.T763.AKQ87 KQ873.J54.Q85.T9 T5.Q632.KJ94.654 J964.A987.A2.J32,10,10,7,5,7,3,2,6,8,4,10,10,7,5,7,3,2,6,8,4
N:AKQ92.AJ953.84.6 64.Q82.A53.AT953 JT7.74.T97.QJ742 853.KT6.KQJ62.K8,5,4,8,9,6,8,9,4,4,7,5,4,8,9,6,8,9,5,4,7
N:Q654.KJ85.AKJ5.K T2.A62.Q62.AQ642 AK9.QT9.94.JT987 J873.743.T873.53,10,9,10,10,10,3,4,3,3,3,10,9,10,10,10,3,4,3,3,3
N:Q962.AJ942.7.A75 AT83.Q83.652.KT3 KJ.K6.AKJT83.J64 754.T75.Q94.Q982,9,9,10,9,8,4,2,2,3,4,9,9,10,9,8,4,2,1,3,3
N:843.KQ9.AJT52.JT KJ5.A.Q743.K7654 QT.J743.K96.9832 A9762.T8652.8.AQ,4,6,4,2,4,9,7,8,11,9,4,6,4,2,4,9,7,8,11,9
N:984.AT8643.K2.Q6 AK.J92.A83.J9742 QJ76.KQ5.Q7.AT53 T532.7.JT9654.K8,6,4,9,7,8,6,9,4,5,4,6,4,9,7,8,7,9,4,5,4
N:AK7.QJ98.A87.AT5 Q953.6543.T54.KQ J.KT7.KQ96.98764 T8642.A2.J32.J32,10,10,11,7,10,3,3,2,6,3,10,10,11,7,10,3,3,2,6,3
N:A95.5.AKQJ72.A87 QJ3.K643.643.965 KT872.QJ.95.JT32 64.AT9872.T8.KQ4,9,11,6,10,7,3,2,7,2,4,9,11,6,10,7,3,2,7,2,4
N:A63.KQJT6.3.AQ84 KQT84.97.8.T9762 7.A832.K96542.KJ J952.54.AQJT7.53,8,9,12,5,10,4,4,1,7,3,8,9,12,6,10,4,4,1,7,3
N:T96.83.Q92.AKJ53 AK7.KQ74.54.QT64 Q5432.952.K6.987 J8.AJT6.AJT873.2,5,2,2,6,3,7,11,11,7,10,5,2,2,6,3,7,11,11,7,10
N:QJ85.7542.T2.QT3 KT763.J98.Q53.A4 92.AQ.974.KJ9875 A4.KT63.AKJ86.62,7,2,2,3,2,6,11,11,9,8,7,2,2,3,2,6,11,11,9,8
N:92.Q.J86432.QT92 AJ8763.KJ87.A.K7 KT4.T5.KQT9.AJ63 Q5.A96432.75.854,9,10,2,2,2,4,3,11,11,8,9,10,2,2,2,3,3,10,10,8
N:9.A7.AQJ532.AK94 A8763.KJ8.K64.87 K4.QT9652.T9.J65 QJT52.43.87.QT32,10,10,10,5,8,3,3,3,8,3,9,9,10,5,8,3,3,3,8,3
N:K.742.Q85.AQJ643 A754.K85.KJ9.982 JT62.J963.T72.T5 Q983.AQT.A643.K7,5,3,4,3,3,7,9,9,10,7,5,3,4,3,3,8,10,9,10,9
N:9432.Q85.AJ.J985 T.A762.K862.KQ62 KQ7.JT3.QT973.73 AJ865.K94.54.AT4,3,5,3,4,4,9,8,9,9,8,3,5,3,4,4,9,8,10,9,8
N:AK.J85.Q865.T532 97.AQ932.AJ32.86 JT8532.764.K.KJ9 Q64.KT.T974.AQ74,5,3,3,5,3,8,10,10,7,10,5,3,3,5,3,8,10,10,7,10
N:AT.K862.QT6.JT94 KQ864.93.9.AKQ86 92.QJ754.K532.52 J753.AT.AJ874.73,3,5,7,1,4,10,7,5,11,8,3,5,7,1,4,10,7,5,11,8
N:Q86542.9.KQJ4.A2 A9.AQ653.9853.K3 KJT3.T82.T62.987 7.KJ74.A7.QJT654,1,5,1,9,1,11,7,11,4,7,1,5,1,9,1,11,7,11,4,7
N:KT87.J4.J952.854 65432.T8.Q4.J762 A9.965.A873.AT93 QJ.AKQ732.KT6.KQ,7,8,4,6,6,6,5,8,7,7,7,8,4,6,6,6,5,8,7,7
N:864.A4.AJ976.J62 Q52.KQ9.KT52.K53 KJT9.65.84.AQT87 A73.JT8732.Q3.94,9,8,5,9,7,4,4,8,4,5,9,8,5,9,7,3,4,7,3,3
N:KQJT9.AQJ.A7.J74 A6.T6.K965.AT652 873.K9532.Q84.K8 542.874.JT32.Q93,6,6,11,11,8,7,7,2,2,2,6,6,10,10,8,7,7,2,2,2
N:Q.T9843.AK642.63 J76.J752.Q.KT754 KT95432.K.T853.J A8.AQ6.J97.AQ982,2,8,4,8,3,11,4,9,5,9,2,8,4,8,3,11,4,9,5,9
N:87.5.KT9643.J653 Q6542.A96.AJ5.Q2 JT93.T7432.Q7.T9 AK.KQJ8.82.AK874,1,5,1,1,1,12,8,11,12,12,1,5,1,1,1,12,8,11,12,12
N:T54.JT2.87642.JT 86.98653.Q5.AKQ8 973.A7.AKJT9.654 AKQJ2.KQ4.3.9732,1,7,2,2,4,11,6,10,11,7,1,7,2,2,4,11,6,10,11,7
N:KQ4.AJ74.A842.95 87.K9532.KQ.8763 AJ963.Q8.JT93.J4 T52.T6.765.AKQT2,4,9,6,9,7,9,4,7,4,6,4,9,6,9,7,9,4,7,4,6
N:KQT7643.J5.AQ7.J J.AT632.KJ63.986 .Q98.T9854.AKT54 A9852.K74.2.Q732,6,8,5,8,6,6,5,7,5,7,7,8,5,8,6,6,5,7,5,7
N:AKT.AKT32.AK97.5 96542.Q865.52.62 873.J.QT864.KQJT QJ.974.J3.A98743,9,12,11,10,12,4,1,2,3,1,9,12,11,10,12,4,1,2,3,1
N:KT3.QJ765.4.K653 8.A984.Q72.AT874 AQ7.32.AK863.QJ9 J96542.KT.JT95.2,8,7,7,6,8,5,5,5,7,5,8,7,7,6,8,5,5,5,7,5
N:QT97654.T7.82.86 J32.KQ643.A3.943 8.A82.QT94.AQJT2 AK.J95.KJ765.K75,5,4,2,6,2,7,9,10,6,8,6,4,2,6,2,7,9,10,6,8
N:Q654.AKQ54.K.983 A3.763.7653.AKQ2 KJT98.92.T8.JT54 72.JT8.AQJ942.76,5,3,7,8,3,8,10,5,5,8,5,3,7,8,3,8,10,5,5,8
N:KT93.632.QJ943.J A7.A84.A875.AQ95 QJ5.97.T62.K8743 8642.KQJT5.K.T62,3,6,2,4,2,10,7,11,8,9,3,6,2,4,2,9,7,11,8,9
N:A93.53.T9864.KQ9 .AQ87.732.AJ8764 QJ7652.K2.KQ5.52 KT84.JT964.AJ.T3,4,7,2,8,6,9,5,10,5,6,4,7,2,8,6,9,5,10,5,6
N:964.9873.AJ653.A 8.KT54.KQT4.T943 AKT753.AQJ.2.Q76 QJ2.62.987.KJ852,6,8,9,12,10,7,4,4,1,3,6,8,9,12,9,6,4,4,1,3
N:A9876.Q3.K72.Q86 QT5.74.AT6543.73 KJ42.986.98.KJT2 3.AKJT52.QJ.A954,6,1,3,7,4,7,10,9,5,8,6,1,3,7,4,7,10,9,5,8
N:AKJ96..QT85.KJ82 Q872.85.A74.AT94 T53.QT732.J962.6 4.AKJ964.K3.Q753,3,8,3,7,4,9,5,10,5,8,3,8,3,7,4,9,5,10,5,8
N:K5432.K.KQ98.KT3 986.A854.JT43.QJ AQJT.T73.A.98765 7.QJ962.7652.A42,10,6,5,10,7,3,7,7,3,5,10,6,5,10,7,3,7,7,3,5
N:T74.T753.K.AKJ72 A5.QJ6.T982.T954 QJ8632.A8.QJ63.8 K9.K942.A754.Q63,7,7,7,10,8,5,6,6,3,5,7,7,7,10,8,5,6,6,3,5
N:T532.K92.J3.KQ42 QJ874.87.Q95.A73 6.QT543.KT42.JT6 AK9.AJ6.A876.985,6,3,8,3,3,7,8,5,10,8,6,3,8,3,3,7,8,5,10,9
N:Q.AKQ9742.JT.KJ5 J7.JT8.AQ942.AT3 AT9543.6.865.762 K862.53.K73.Q984,5,5,9,7,6,8,8,4,5,5,5,5,9,7,6,8,8,4,5,5
N:76.AJ87432.K97.8 KQT52.T6.A5.AK65 AJ93.Q.QJ86.9432 84.K95.T432.QJT7,5,6,9,5,6,8,6,4,7,7,5,6,9,5,6,8,6,4,7,7
N:J75.QT94.T72.T83 9.A8532.KQJ.QJ96 AQT643.J6.863.A7 K82.K7.A954.K542,2,2,3,6,3,11,11,9,7,7,2,2,3,6,3,11,11,9,7,7
N:KJ74.A8.985.T853 T853.QT97.AJ6.96 Q62.K4.KQT3.QJ42 A9.J6532.742.AK7,8,7,5,8,6,4,5,8,5,6,8,7,5,8,6,4,5,8,5,6
N:K2.AT43.KQJT7.A2 QT4.87.98643.943 A9763.96.52.JT76 J85.KQJ52.A.KQ85,7,8,7,8,8,6,4,6,3,4,7,8,7,9,8,6,4,6,3,4
N:86.J9653.K.KJT82 AKJ4.AKQ7.AQ.AQ3 9732.82.T9532.94 QT5.T4.J8764.765,3,1,2,0,1,10,12,10,12,12,3,1,2,0,1,10,12,10,12,12
N:K763.AQJ6.J75.75 QJT95.43.T92.A94 4.752.K.KQJT8632 A82.KT98.AQ8643.,10,3,6,3,5,3,10,6,9,8,10,3,6,3,5,3,10,7,10,8
N:.864.KT7543.K872 QJT32.AK7.J6.J96 854.Q932.Q8.AT54 AK976.JT5.A92.Q3,9,9,7,4,5,4,4,5,9,8,9,9,7,4,5,4,4,5,9,8
N:J862.Q984.JT6.KJ QT5.AT752.AQ8.Q3 AK973..32.AT8764 4.KJ63.K9754.952,10,4,3,10,5,3,9,9,3,5,10,4,3,10,5,3,8,9,1,2
N:KT32.A2.T5.Q9752 A8654.7.K83.KT43 97.JT8.J9764.J86 QJ.KQ96543.AQ2.A,5,4,2,2,2,8,9,11,10,10,5,4,2,2,2,8,9,11,10,10
N:J.KQ965.J9852.64 Q652.T7.K63.T985 KT943.2.T74.KQJ2 A87.AJ843.AQ.A73,5,7,5,5,5,8,6,7,8,8,5,7,5,5,5,7,6,7,8,8
N:K872.J7.AK.AQJ43 654.A842.J85.K96 JT9.K953.QT63.T2 AQ3.QT6.9742.875,10,8,8,10,9,3,4,5,3,4,10,9,8,10,9,3,4,5,3,4
N:K64.986.T742.QT7 932.KQT2.KQ.9842 AQ8.A43.86.AKJ63 JT75.J75.AJ953.5,9,6,6,6,9,4,7,6,5,4,9,6,6,6,9,4,7,6,5,4
N:A853..KJ9762.T64 2.KQ8642.AT54.A3 JT7.AT7.Q83.Q972 KQ964.J953..KJ85,4,7,1,4,4,8,6,11,9,9,4,7,1,4,4,8,6,11,9,6
N:T5.K3.A6543.JT64 7643.2.KJ872.KQ8 J2.T87654.Q.A732 AKQ98.AQJ9.T9.95,6,3,6,2,2,7,10,7,10,10,6,3,6,2,2,7,10,7,10,10
N:93.Q62.Q974.KQ54 K754.AJ8.AKT5.J3 AJ2.95.J832.AT92 QT86.KT743.6.876,6,7,3,3,5,5,6,10,10,8,6,7,3,3,5,5,6,10,10,8
N:52.J9.J86.J97642 AKJ8763.7.AQ753. 4.AT862.T9.AKQT8 QT9.KQ543.K42.53,9,1,5,1,1,4,12,7,12,6,9,1,5,1,1,4,12,7,12,6
N:.KT8742.A9862.K9 J9872.5.54.QJT76 AK43.QJ6.J3.A842 QT65.A93.KQT7.53,6,9,10,5,10,6,3,2,8,3,6,9,10,5,10,6,3,2,8,3
N:AK8.AT94.J92.653 543.52.KT74.JT84 QJ96.Q87.A65.Q72 T72.KJ63.Q83.AK9,5,5,7,7,6,8,8,5,5,5,5,5,7,7,7,8,8,5,5,5
N:9632.J62.KQ.AK76 AKJ.AT74.JT96.82 Q874.KQ85.32.QT4 T5.93.A8754.J953,7,4,7,8,6,6,9,6,5,5,7,4,7,8,6,5,9,6,4,5
N:A942.QJ72.T82.54 KT765.T964.3.AT7 Q8.85.Q96.QJ9863 J3.AK3.AKJ754.K2,5,1,3,2,1,8,11,10,11,11,5,1,3,2,1,8,11,10,11,11
N:2.A83.A8732.QT94 Q653.542.QJ9.J76 AKJT8.KT76.KT.K8 974.QJ9.654.A532,11,11,11,11,10,2,2,2,2,2,11,11,11,11,10,2,2,2,2,2
N:AKQJ7.K.AK63.AT5 T86.AT953.QT97.6 542.8642.J5.KQJ4 93.QJ7.842.98732,10,8,7,12,8,3,5,6,1,2,10,8,7,12,8,3,5,6,1,2
N:KJT5.AQ732.J7.63 982.K8.AK8643.A5 A7.JT54.52.KQT92 Q643.96.QT9.J874,8,5,9,7,5,5,8,3,6,8,8,5,9,7,5,5,8,3,6,7
N:54.QJ8743.JT3.92 AJT.T9.K65.KQ865 Q8.AK652.942.743 K97632..AQ87.AJT,0,0,6,0,0,13,13,7,13,7,0,0,6,0,0,13,13,7,13,7
N:T92.Q764.2.T8642 AK643.K982.T.Q53 Q87.A3.J96543.A9 J5.JT5.AKQ87.KJ7,4,4,2,3,3,9,9,11,10,10,4,4,2,3,3,9,9,11,10,10
N:AJ5.8.Q9875.QJ75 T9762.KT.AT.AT98 KQ3.A7432.J62.43 84.QJ965.K43.K62,5,8,4,5,5,8,5,8,7,8,5,8,4,5,5,8,5,8,7,8
N:K82.K93.654.JT32 AQJT74.7.AK83.K7 6.AQT6542.JT7.98 953.J8.Q92.AQ654,2,0,7,0,0,11,12,6,12,6,2,0,7,0,0,11,12,6,12,6
N:AJ.T7532.AQ32.Q8 Q74.KQ986.K.JT63 2.J4.JT98765.K95 KT98653.A.4.A742,4,10,7,3,8,9,3,6,10,4,4,10,7,3,8,9,3,6,10,4
N:AK764.J.A3.KJ943 Q953.K6.KQT9642. T82.75.87.AQ8752 J.AQT98432.J5.T6,10,3,2,9,5,2,10,10,4,4,10,3,2,9,5,2,10,10,4,4
N:K952.AQ732.J9.J6 A876.864.Q82.T75 J3.K95.T643.Q842 QT4.JT.AK75.AK93,4,5,7,4,6,8,8,6,8,7,4,5,7,5,6,8,8,6,8,7
N:T942.AT83.KT65.8 KQJ6.KQ74.A7.J42 8.J65.Q42.KT7653 A753.92.J983.AQ9,5,4,4,2,3,8,8,9,10,10,5,4,3,2,3,8,8,8,10,10
N:K762.KT3.T63.A74 AT4.J42.J754.983 95.Q9875.98.T652 QJ83.A6.AKQ2.KQJ,5,2,6,3,3,8,11,7,10,8,5,2,6,3,3,8,11,7,10,8
N:54.AKT4.KQT65.63 AQJT73.9875..Q82 9862.Q2.943.AJ97 K.J63.AJ872.KT54,5,7,6,4,5,8,5,7,9,7,5,7,6,4,5,8,5,7,9,7
N:QJ.83.AJ73.KQT76 9854.KT92.KQ862. 63.QJ65.T.AJ5432 AKT72.A74.954.98,9,2,3,1,6,4,10,9,11,6,9,2,3,1,6,4,10,9,11,6
N:K7.A7642.K6.KJ65 A9.K9853.Q54.AT8 QJT65.T.AT32.932 8432.QJ.J987.Q74,7,6,6,9,7,5,6,7,4,5,7,6,6,9,7,5,6,7,4,5
N:T.Q842.QT742.AK4 KQ9543.T3.K98.T2 J7.KJ765.5.J9875 A862.A9.AJ63.Q63,9,6,10,3,3,4,7,3,9,9,9,6,10,3,3,4,7,3,9,9
N:7632.T5.Q753.J82 KJ9.AKQJ42.9.KQT QT54.9876.A64.64 A8.3.KJT82.A9753,0,2,0,4,0,12,11,12,9,12,0,2,0,4,0,12,11,12,9,12
N:QJT83.5432.8.K83 9.QJT76.AQJ63.92 A652.AK9.54.JT75 K74.8.KT972.AQ64,6,2,5,8,6,7,10,8,4,7,6,2,5,8,6,7,11,8,4,7
N:QT84.8.J65.AJ732 KJ3.753.AQ97.T96 A96.AQT6.T832.85 752.KJ942.K4.KQ4,7,6,4,7,6,5,6,8,5,6,7,7,5,8,6,6,6,8,5,7
N:A6432.AQT5.T.A32 K.K863.A3.KT8654 J98.72.KJ9872.J9 QT75.J94.Q654.Q7,5,7,5,7,5,8,5,8,5,8,5,7,5,7,5,8,5,8,6,8
N:JT62.J642.85.J94 AK875.AK9.KT93.8 93.T7.AQJ762.T75 Q4.Q853.4.AKQ632,0,4,1,2,0,12,9,11,11,12,0,4,1,2,0,12,9,11,11,11
N:K3.K82.8764.8543 86.J93.AQJ95.AJ2 J754.AQ5.KT3.Q97 AQT92.T764.2.KT6,5,5,4,4,5,7,8,9,9,8,5,5,4,4,5,7,8,9,9,8
N:AJT.J9.Q98.K8642 K542.843.A54.Q97 9873.KT762.T2.J3 Q6.AQ5.KJ763.AT5,4,4,6,5,4,8,9,7,7,8,4,4,6,5,4,9,9,7,7,9
N:QJT76.9743.Q53.A AK32.AQT8.J2.842 54.J5.K874.JT976 98.K62.AT96.KQ53,4,3,2,5,2,9,9,11,8,9,4,3,2,5,2,9,9,11,8,9
N:QJ63.J9.T6532.A7 AK972.8542.98.64 854.AQT73.AKQJ.T T.K6.74.KQJ98532,3,9,9,8,6,9,3,3,5,3,3,9,9,8,6,9,3,3,5,3
N:A3.AQ8.6.KJT9832 KJ96.95.K942.AQ4 Q87.K72.AQ853.75 T542.JT643.JT7.6,11,8,8,7,9,2,5,5,6,2,11,8,7,6,9,2,5,5,6,2
N:A6.T642.J97.KQT9 843.K9753.Q63.J4 QJ752.Q8.T2.A632 KT9.AJ.AK854.875,8,4,5,7,5,4,8,8,5,7,8,4,5,7,6,5,8,8,6,7
N:KJ97.72.K72.T752 AQT64.QJ6.T4.AJ9 8532.AK54.3.KQ43 .T983.AQJ9865.86,8,4,5,8,5,5,9,8,5,8,8,4,5,8,5,5,9,7,5,8
N:96.A82.J854.Q643 AJ853.T.KQ92.A85 KQT4.KQJ7.T6.JT2 72.96543.A73.K97,6,5,6,5,6,7,8,7,8,7,6,5,6,5,6,7,8,7,8,7
N:QT83.Q2.J863.A95 AJ92.764.A4.KQ63 K75.K8.KQT952.T4 64.AJT953.7.J872,3,8,3,6,6,10,5,10,7,6,3,8,3,6,6,10,5,10,7,6
N:QJ8.742.A643.983 7654.K5.J82.Q752 AKT92.8.KT75.KT4 3.AQJT963.Q9.AJ6,5,9,3,8,4,7,4,9,5,6,5,9,4,8,4,7,4,9,5,6
N:KT9764.Q85.K75.8 5.AJ96.A32.KT732 3.K74.QJ94.AQ965 AQJ82.T32.T86.J4,7,7,7,8,7,6,6,6,5,6,6,7,6,7,6,6,5,6,5,6
N:Q72.Q863.JT64.Q2 63.J75.752.98753 A854.A94.KQ9.KT4 KJT9.KT2.A83.AJ6,6,8,8,8,8,6,4,4,5,4,6,9,9,8,8,6,4,4,5,4
N:J85.T754.8.QT732 T964.KJ93.65.K96 AKQ73.86.KJT74.8 2.AQ2.AQ932.AJ54,3,5,4,7,5,10,8,9,6,8,3,5,4,7,5,10,8,9,6,8
N:QJ85.KQ4.65.AK98 K4.J975.KT843.62 A63.AT2.AQ7.JT73 T972.863.J92.Q54,12,9,11,12,12,1,4,2,1,1,12,9,11,12,12,1,4,2,1,1
N:A762.QT73.J85.KT T85.A82.T97.A763 KQ9.K9654.AK4.85 J43.J.Q632.QJ942,5,6,10,8,8,8,6,2,3,2,5,6,10,8,7,8,6,2,3,2
N:Q863.962.AT.KJ73 JT.AJ743.J85.AQ2 K75.KT85.K9742.T A942.Q.Q63.98654,5,7,7,7,6,8,5,5,6,6,5,8,7,7,6,8,5,5,6,6
N:K8.Q632.KQ87.K54 J9765.K.J632.983 AQ3.T4.AT54.AJ72 T42.AJ9875.9.QT6,10,11,8,9,10,3,2,5,4,2,10,11,8,9,11,3,2,5,4,2
N:K6.J82.AJ52.J962 AQ832.QT643.Q98. 74.75.T763.AQ854 JT95.AK9.K4.KT73,6,6,1,1,2,7,7,12,12,11,6,5,1,1,2,7,7,12,12,11
N:8.K5432.J52.AQT7 J963.AJ86.AK74.J 75.T97.96.K98654 AKQT42.Q.QT83.32,7,0,6,1,1,5,12,7,12,7,7,0,6,1,1,5,12,7,12,7
N:3.T62.AKJ94.AT52 Q75.K8.Q8732.863 KJT9642.J4.5.QJ9 A8.AQ9753.T6.K74,8,6,5,9,5,5,6,7,3,7,8,6,5,9,5,4,7,7,3,8
